firstMajor,applyGrade,applyMajor,applySemester,applyGPA,pass
컴퓨터학과,2-1,통계학과,2023-1,4.47,1
수학과,4-1,경영학과,2023-1,4.09,0
일어일문학과,2-1,컴퓨터학과,2021-1,4.48,1
언어학과,2-1,컴퓨터학과,2021-1,4.19,1
컴퓨터학과,2-1,수학과,2023-1,3.73,1
기계공학부,3-1,컴퓨터학과,2023-1,4.03,1
경제학과,2-1,컴퓨터학과,2023-1,4.47,1
식품자원경제학과,2-1,미디어학부,2023-1,4.1,1
정치외교학과,1-1,미디어학부,2022-1,4.24,0
정치외교학과,2-2,통계학과,2020-2,4.37,1
영어영문학과,2-1,국어국문학과,2023-1,4.13,1
행정학과,2-2,경영학과,2018-2,3.71,0
행정학과,3-1,서어서문학과,2019-1,3.84,1
행정학과,2-1,경제학과,2023-1,4.18,1
디자인조형학부 ,2-1,화학과,2021-1,3.77,1
경영학과,2-1,통계학과,2021-1,4.46,1
기계공학부,2-1,전기전자공학부,2022-1,4.06,1
경영학과,2-1,보건환경융합과학부,2022-1,4.33,1
디자인조형,3-1,심리학부,2021-1,4.2,1
건축학과,2-2,컴퓨터학과,2021-2,4.1,1
경영학과,2-1,컴퓨터학과,2020-1,4.5,1
보건환경융합과학부,4-1,전기전자공학부,2022-1,4.1,1
경영학과,3-2,중어중문학과,2022-2,3.83,1
가정교육과,7-1,컴퓨터학과,2023-1,4.2,1
미디어학부,2-1,컴퓨터학과,2021-1,4.21,1
경제학과,2-1,통계학과,2021-1,4.22,1
보건정책관리학부,2-1,경영학과,2021-1,4.42,1
경영,4-1,심리학,2020-1,3.6,0
디자인조형학부,3-1,사학과,2022-1,3.5,1
수학과,5-1,컴퓨터학과,2023-1,3.99,0
생명공학부,2-1,심리학부,2023-1,4.5,1
보건환경융합과학부,2-2,수학과,2022-2,3.49,1
가정교육과,2-2,수학교육과,2020-2,3.43,1
건축사회환경공학부,4-2,융합에너지공학과,2022-2,3.98,1
경영학과,2-1,통계학과,2023-1,4.33,1
컴퓨터학과,4-2,통계학과,2022-2,4.16,1
환경생태공학부,3-1,식품자원경제학과,2023-1,4.05,1
수학교육과,2-1,교육학과,2022-1,3.96,1
노어노문학과,2-1,심리학부,2021-1,4.26,1
보건환경융합과학부,2-1,화학과,2018-1,3.56,1
보건환경융합과학부,2-1,생명공학부,2020-1,4.49,1
보건환경융합과학부 ,4-1,화공생명공학부,2022-1,4.31,1
보건환경융합과학부,3-1,화공생명공학과,2021-1,4.31,1
보건환경융합과학부,4-1,화학과,2023-1,3.91,1
바이오의공학부,2-2,통계학과,2022-2,4.25,1
보건정책관리학부,3-1,국제학부,2019-1,3.48,0
수학과,4-2,경영학과,2022-2,3.92,1
언어학과,5-1,언어학과,2021-1,4.3,1
사회체육학부,-3-1,북한학과,2013-1,3.37,1
서어서문학과,2-1,정치외교학과,2021-1,3.95,1
경영학과,2-1,컴퓨터학과,2021-1,4.31,1
생명공학부,3-2,뇌인지과학과,2019-2,3.6,1
보건환경융합과학과,5-1,컴퓨터학과,2021-1,4.2,1
교육학과,3-1,미디어학부,2023-1,4.21,1
수학과,2-1,통계학과,2021-1,3.96,1
심리학부,2-2,생병공학부,2022-2,3.72,1
정치외교학과,2-2,경제학과,2022-2,4.34,1
한문학과,1-1,철학과,2022-1,4.19,1
경영학과,5-2,산업경영공학부,2022-2,3.65,1
국어국문학과,2-1,경영학과,2020-1,4.37,1
국어국문,2-1,데이터과학,2023-1,4.24,1
심리학부,2-1,컴퓨터학과,2021-1,4.2,1
심리학부,2-1,미디어학부,2021-1,4.16,0
국제학부,2-1,미디어학부,2023-1,4.26,1
보건환경융합과학부,2-2,스마트보안학부,2022-2,3.56,1
국제학부,2-1,경제학과,2023-1,4.18,1
한문학과,2-2,경제학과,2019-2,3.84,0
바이오의공학부 ,4-2,전기전자공학부,2020-2,3.96,1
산업경영공학부,2-2,미디어학부,2021-2,4.02,1
정치외교학과,2-2,바이오시스템의과학부,2021-2,4.3,1
사학과 ,2-2,행정학과,2019-2,3.8,1
디자인조형학부,2-2,심리학부,2021-2,4.12,1
생명과학부,2-1,수학과,2023-1,2.96,0
국제학부,3-1,경제학과,2019-1,3.84,0
통계학과,2-1,경영학과,2020-1,4.33,1
물리학과,2-1,수학과,2019-1,4.28,1
건축학과,4-1,융합에너지공학과,2023-1,4.18,1
한국사학과,2-1,미디어학부,2023-1,4.29,1
디자인조형학부,5-1,심리학부,2023-1,4.04,0
역사교육과,2-1,심리학부,2021-1,4.34,1
중어중문학과,2-1,심리학부,2022-1,4.42,1
디자인조형학부,2-1,심리학과,2018-1,4.04,1
컴퓨터학과,2-2,심리학부,2022-2,4.13,1
노어노문학과,2-1,심리학부,2021-1,4.26,1
경제학과,2-1,경영학과,2021-1,4.19,0
생명과학부,4-2,심리학부,2021-2,4.22,1
심리학,2-1,사회학,2022-1,4.2,1
국어국문학과 ,2-1,경영학과,2023-1,4.5,1
일어일문학과,2-1,경영학과,2023-1,4.32,1
미디어학부,2-1,식품자원경제학과,2023-1,4.2,1
산업경영공학부 ,3-1,통계학과 ,2019-1,4.22,1
일어일문학과,3-1,식품자원경제학과,2022-1,4.0,1
행정학과,2-1,경영학과,2019-1,4.41,1
보건환경융합과학부,5-2,화학과,2022-2,3.7,1
컴퓨터학과,2-1,심리학과,2023-1,4.35,1
보건정책관리학부,2-2,심리학부,2022-2,4.04,1
중어중문학과,3-1,경영학과,2022-1,4.12,0
국제학부,2-1,경영학과,2018-1,4.0,1
국제학부,3-1,통계학과,2020-1,3.7,0
철학과,2-1,심리학부,2022-1,4.5,1
미디어학부,2-1,사회학과,2023-1,4.33,1
건축학과,3-1,경영학과,2023-1,4.4,1
국어교육과,2-1,국어국문학과,2023-1,4.22,1
역사교육과,2-1,국어국문학과,2023-1,3.81,1
영어교육과,2-1,경영학과,2023-1,4.47,1
독어독문학과,2-1,통계학과,2023-1,4.31,1
디자인조형학부,2-1,미디어학부,2023-1,4.49,1
불어불문학과,2-1,식품자원경제학과,2021-1,3.99,1
경영,4-2,패션디자인및머천다이징,2020-2,3.58,1
간호학과,3-1,바이오시스템의과학부,2022-1,3.75,1
지구환경과학과,2-1,통계학과,2018-1,4.1,0
영어영문학과 ,3-1,건축학과,2021-1,3.8,1
철학과,2-1,정치외교학과,2021-1,4.17,1
정치외교학과,1-1,통계학과,2017-1,4.17,1
서어서문학과,2-2,경영학과,2022-2,4.38,1
